id,node_type
24,small_stmt|expr_stmt UP
469,arglist|argument|test UP
68,dotted_name UP
390,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
647,xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
517,comp_op|IS UP
509,stmt|compound_stmt|while_stmt UP
193,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
458,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power UP
438,LAMBDA UP
598,testlist|test|or_test|and_test UP
293,not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
503,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
673,ASSERT DOWN
440,argument|test|lambdef DOWN
190,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
456,atom_expr|atom UP
233,with_item DOWN
547,TRY UP
329,DEF DOWN
231,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
9,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
270,atom_expr|atom|NUMBER UP
446,comp_op|IN DOWN
26,atom|NAME DOWN
397,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
618,or_test|and_test UP
593,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor DOWN
506,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
214,test_nocond|or_test|and_test|not_test|comparison UP
121,UNKNOWN_CHAR UP
388,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
289,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
356,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test UP
412,comp_op DOWN
424,import_as_name UP
639,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr UP
474,and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
705,simple_stmt|small_stmt|expr_stmt DOWN
66,small_stmt|import_stmt|import_name DOWN
560,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power UP
130,DIV UP
170,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
106,import_as_name|NAME DOWN
562,except_clause|EXCEPT DOWN
202,with_item|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
304,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
332,dotted_as_names|dotted_as_name|dotted_name UP
319,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
554,argument|test|or_test|and_test|not_test|comparison UP
94,testlist_star_expr UP
198,stmt|compound_stmt|if_stmt UP
255,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
251,term|factor|power|atom_expr|atom|NUMBER UP
426,suite|simple_stmt UP
649,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr DOWN
136,IDIV UP
442,varargslist|vfpdef|NAME UP
278,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
394,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|OPEN_BRACE DOWN
579,augassign|DIV_ASSIGN UP
181,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
690,arglist|argument|test|or_test|and_test|not_test|comparison|expr UP
125,factor|power|atom_expr DOWN
518,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE DOWN
572,ELIF DOWN
492,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
58,COLON UP
384,factor|power|atom_expr|atom|STRING UP
222,exprlist|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
583,NOT_OP DOWN
408,small_stmt|expr_stmt|testlist_star_expr UP
664,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power UP
581,tfpdef DOWN
386,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term DOWN
45,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
625,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test DOWN
430,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE DOWN
267,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term DOWN
355,and_test|not_test DOWN
321,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
609,atom_expr DOWN
102,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
178,comp_op|EQUALS DOWN
601,suite|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
46,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
392,factor UP
280,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor UP
466,testlist|test|or_test|and_test|not_test UP
70,FROM UP
527,term|factor DOWN
217,comp_iter|comp_if UP
284,DEL UP
334,SEMI_COLON DOWN
324,MOD UP
351,and_test UP
580,tfpdef UP
226,FOR DOWN
460,not_test|comparison UP
122,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
164,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
632,and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
322,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
27,stmt|simple_stmt UP
398,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
400,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
311,AND UP
617,term|factor|power DOWN
604,testlist|test|or_test|and_test|not_test|comparison UP
263,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
391,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|OPEN_BRACE UP
629,suite|NEWLINE UP
275,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
